1400
174,86400
0,0,75.096
1,30,79.992
2,60,130.56
3,90,135.192
4,120,135.192
5,150,135.192
6,180,135.816
7,210,138.72
8,240,138.864
9,270,138.768
10,300,138.504
11,330,137.088
12,360,137.976
13,390,137.544
14,420,136.56
15,450,135.456
16,480,135.456
17,510,135.96
18,540,138.6
19,570,138.72
20,600,138.648
21,630,138.6
22,660,138.408
23,690,138.336
24,720,138.24
25,750,137.76
26,780,135.6
27,810,135.456
28,840,135.288
29,870,135.6
30,900,138.504
31,930,138.648
32,960,138.72
33,990,138.6
34,1020,138.408
35,1050,138.6
36,1080,138.336
37,1110,137.496
38,1140,135.288
39,1170,135.384
40,1200,135.456
41,1230,136.92
42,1260,151.896
43,1290,155.376
44,1320,155.208
45,1350,154.992
46,1380,154.272
47,1410,151.68
48,1440,150.312
49,1470,146.4
50,1500,144.456
51,1530,144.24
52,1560,144.888
53,1590,145.416
54,1620,153.264
55,1650,155.52
56,1680,155.424
57,1710,154.728
58,1740,152.88
59,1770,152.88
60,1800,152.424
61,1830,148.104
62,1860,145.416
63,1890,145.512
64,1920,145.728
65,1950,145.776
66,1980,158.376
67,2010,171.504
68,2040,169.488
69,2070,168.696
70,2100,166.752
71,2130,162
72,2160,159.744
73,2190,153.624
74,2220,146.256
75,2250,145.824
76,2280,147.72
77,2310,149.208
78,2340,165.96
79,2370,171.168
80,2400,169.8
81,2430,167.016
82,2460,162.12
83,2490,156.744
84,2520,154.368
85,2550,154.416
86,2580,147.504
87,2610,151.056
88,2640,153.216
89,2670,162.528
90,2700,171.12
91,2730,174.768
92,2760,174.6
93,2790,173.136
94,2820,168.384
95,2850,164.28
96,2880,159.312
97,2910,153.216
98,2940,146.88
99,2970,146.304
100,3000,149.472
101,3030,160.104
102,3060,172.128
103,3090,174.456
104,3120,174.816
105,3150,173.328
106,3180,169.8
107,3210,165.6
108,3240,163.584
109,3270,157.104
110,3300,147.624
111,3330,151.32
112,3360,152.952
113,3390,164.424
114,3420,172.92
115,3450,174.24
116,3480,173.928
117,3510,171.864
118,3540,167.328
119,3570,163.488
120,3600,161.592
121,3630,156
122,3660,146.448
123,3690,150.048
124,3720,149.256
125,3750,162
126,3780,170.712
127,3810,174.552
128,3840,173.664
129,3870,170.064
130,3900,165.384
131,3930,161.592
132,3960,163.368
133,3990,153.576
134,4020,146.352
135,4050,147.984
136,4080,151.416
137,4110,165.648
138,4140,172.872
139,4170,173.928
140,4200,172.872
141,4230,170.544
142,4260,169.176
143,4290,165.912
144,4320,166.008
145,4350,154.152
146,4380,148.56
147,4410,146.088
148,4440,148.248
149,4470,160.8
150,4500,172.296
151,4530,174.192
152,4560,174.12
153,4590,172.44
154,4620,169.536
155,4650,166.704
156,4680,164.376
157,4710,152.832
158,4740,145.944
159,4770,153.096
160,4800,147.24
161,4830,150.984
162,4860,167.904
163,4890,174.288
164,4920,173.136
165,4950,170.496
166,4980,167.64
167,5010,165.336
168,5040,160.944
169,5070,154.512
170,5100,145.992
171,5130,151.2
172,5160,147.144
173,5190,151.152
1,200,1000,0,0,113
2,200,1000,-199.99980000029,0,99
3,200,1000,-399.99960000019,0,103
4,200,1000,-599.99940000009,0,112
5,200,1000,-799.99919999998,0,113
6,200,1000,-999.99900000028,0,113
7,200,1000,-1199.9988000002,0,113
8,200,1000,-1399.9986000001,0,113
9,200,1000,-1599.9984000004,0,113
10,200,1000,-1799.9982000003,0,101
11,200,1000,-1999.9980000002,0,74
12,200,1000,-2199.9978000001,0,46
13,200,1000,-2399.9976000003,0,43
14,200,1000,-2599.9974000002,0,37
15,200,1000,-2799.9972000001,0,31
16,200,1000,-3099.9969000002,0,5
17,200,1000,-3299.9967000001,0,40
18,200,1000,-3499.9965,0,40
19,200,1000,-3699.9963000003,0,56
20,200,1000,-3899.9961000002,0,29
